tau,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
0,1.0,1.0,1.0,1.0
1,-0.125,-0.5,-0.75,-0.875
2,0.015625,0.25,0.5625,0.765625
3,-0.001953125,-0.125,-0.421875,-0.669921875
4,0.000244140625,0.0625,0.31640625,0.586181640625
5,-3.0517578125e-05,-0.03125,-0.2373046875,-0.512908935546875
6,3.814697265625e-06,0.015625,0.177978515625,0.4487953186035156
7,-4.76837158203125e-07,-0.0078125,-0.13348388671875,-0.39269590377807617
8,5.960464477539063e-08,0.00390625,0.1001129150390625,0.34360891580581665
9,-7.450580596923828e-09,-0.001953125,-0.07508468627929688,-0.30065780133008957
10,9.313225746154785e-10,0.0009765625,0.056313514709472656,0.2630755761638284
11,-1.1641532182693481e-10,-0.00048828125,-0.04223513603210449,-0.23019112914334983
12,1.4551915228366852e-11,0.000244140625,0.03167635202407837,0.2014172380004311
13,-1.8189894035458565e-12,-0.0001220703125,-0.023757264018058777,-0.1762400832503772
14,2.2737367544323206e-13,6.103515625e-05,0.017817948013544083,0.15421007284408006
15,-2.842170943040401e-14,-3.0517578125e-05,-0.013363461010158062,-0.13493381373857005
16,3.552713678800501e-15,1.52587890625e-05,0.010022595757618546,0.1180670870212488
17,-4.440892098500626e-16,-7.62939453125e-06,-0.00751694681821391,-0.1033087011435927
18,5.551115123125783e-17,3.814697265625e-06,0.005637710113660432,0.09039511350064361
19,-6.938893903907228e-18,-1.9073486328125e-06,-0.004228282585245324,-0.07909572431306316
20,8.673617379884035e-19,9.5367431640625e-07,0.0031712119389339932,0.06920875877393026
21,-1.0842021724855044e-19,-4.76837158203125e-07,-0.002378408954200495,-0.06055766392718898
22,1.3552527156068805e-20,2.384185791015625e-07,0.0017838067156503712,0.05298795593629036
23,-1.6940658945086007e-21,-1.1920928955078125e-07,-0.0013378550367377784,-0.04636446144425406
24,2.117582368135751e-22,5.960464477539063e-08,0.0010033912775533338,0.040568903763722304
25,-2.6469779601696886e-23,-2.9802322387695312e-08,-0.0007525434581650003,-0.03549779079325702
26,3.308722450212111e-24,1.4901161193847656e-08,0.0005644075936237503,0.03106056694409989
27,-4.1359030627651384e-25,-7.450580596923828e-09,-0.0004233056952178127,-0.027177996076087403
28,5.169878828456423e-26,3.725290298461914e-09,0.0003174792714133595,0.02378074656657648
29,-6.462348535570529e-27,-1.862645149230957e-09,-0.00023810945356001964,-0.02080815324575442
