omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
-5.3,0.1378897769382296,0.08820505806401165,0.06647905361166097,0.05817534229880525
-5.29,0.13813962150195322,0.08861514981263019,0.06682869159811394,0.05848774981498071
-5.28,0.13839201575315338,0.08903179200140555,0.06718434952065311,0.05880560686708323
-5.27,0.13864695731864127,0.08945507356550854,0.06754612495713024,0.059129004332780497
-5.26,0.13890444363803658,0.08988508527328526,0.06791411784924084,0.059458035348183426
-5.25,0.13916447195810608,0.09032191976351658,0.06828843056505206,0.05979279536983706
-5.24,0.13942703932701536,0.09076567158356376,0.06866916796354952,0.060133382238792076
-5.2299999999999995,0.13969214258849488,0.09121643722842132,0.069056437461276,0.06047989624683578
-5.22,0.1399597783759182,0.09167431518069649,0.06945034910113743,0.060832440204963964
-5.21,0.1402299431062946,0.09213940595153648,0.06985101562345462,0.061191119514179416
-5.2,0.1405026329741742,0.0926118121225237,0.07025855253934232,0.06155604223870529
-5.1899999999999995,0.14077784394546622,0.09309163838856083,0.07067307820650097,0.06192731918170678
-5.18,0.14105557175117084,0.09357899160176668,0.07109471390750953,0.06230506396361756
-5.17,0.1413358118810245,0.0940739808164057,0.07152358393071222,0.06268939310317248
-5.16,0.14161855957705854,0.0945767173348725,0.07195981565379454,0.06308042610125186
-5.1499999999999995,0.1419038098270716,0.09508731475475467,0.07240353963014957,0.06347828552764784
-5.14,0.14219155735801656,0.09560588901699639,0.0728548896781383,0.06388309711086759
-5.13,0.14248179662930174,0.09613255845518685,0.07331400297335361,0.06429498983109469
-5.12,0.1427745218260073,0.09666744384599636,0.07378102014400048,0.06471409601643338
-5.109999999999999,0.14306972685201677,0.09721066846078422,0.07425608536951128,0.06514055144256771
-5.1,0.14336740532306516,0.09776235811840277,0.0747393464825193,0.06557449543597302
-5.09,0.14366755055970384,0.0983226412392221,0.07523095507431932,0.06601607098082356
-5.08,0.14397015558018272,0.0988916489003996,0.0757310666039491,0.06646542482974614
